DateTime,AddedIPs,RemovedIPs
1605778489,52,30
1605780299,3,11
1605781450,4,0
1605782123,6,10
1605785150,21,18
1605786392,14,12
1605787577,5,11
1605789295,10,20
1605790967,8,23
1605792885,11,18
1605795945,16,22
1605797463,6,10
1605800093,37,33
1605801224,14,0
1605802832,12,10
1605803705,10,10
1605805544,12,15
1605807283,9,6
1605809086,13,21
1605810892,16,10
1605812035,6,1
1605813945,21,8
1605814480,5,7
1605816810,18,13
1605818076,9,4
1605819895,10,10
1605821695,7,11
1605822994,4,2
1605824663,23,4
1605825888,7,4
1605827263,4,4
1605828897,14,4
1605830374,10,1
1605831593,11,0
1605832497,10,8
1605836101,12,5
1605837985,15,23
1605839168,10,0
1605840656,18,4
1605843280,41,9
1605844387,22,0
1605846272,25,10
1605846886,8,29
1605852546,73,87
1605854094,18,11
1605857694,29,24
1605859855,26,74
1605861298,7,6
1605862435,24,0
1605864895,63,90
1605867228,34,7
1605869000,28,11
1605872109,41,13
1605873403,18,15
1605875147,26,7
1605875691,9,7
1605877976,32,10
1605879290,16,9
1605880436,21,1
1605881633,11,7
1605882877,6,10
1605884838,14,87
1605885945,8,0
1605886501,11,17
1605888903,19,6
1605890084,6,7
1605892032,14,3
1605893687,6,2
1605895427,5,18
1605897281,10,16
1605898591,8,2
1605900345,12,4
1605900884,3,8
1605903505,13,11
1605904481,9,11
1605906296,5,13
1605908082,3,8
1605909609,16,10
1605910773,5,0
1605911691,4,16
1605914746,14,16
1605916248,11,6
1605918024,9,7
1605919746,8,3
1605920885,1,12
1605922494,7,12
1605925306,7,26
1605927050,4,53
1605929707,12,134
1605932104,5,9
1605933299,4,7
1605936893,28,18
1605938684,24,21
1605940490,19,22
1605943534,34,17
1605944087,3,14
1605946970,11,90
1605947697,1,21
1605949211,14,3
1605950746,4,0
1605951280,2,5
1605953832,12,6
1605955834,20,12
1605957168,9,25
1605958318,6,10
1605961434,11,22
1605963047,6,14
1605965670,5,28
1605968706,11,26
1605970593,4,45
1605972349,14,24
1605972887,0,8
1605974402,13,6
1605975551,3,1
1605976501,0,2
1605979544,15,7
1605980100,0,6
1605982642,7,2
1605983690,5,9
1605985919,4,20
1605987282,2,17
1605988666,11,2
1605990117,15,3
1605990882,6,8
1605993957,19,13
1605995444,10,9
1605998097,19,19
1605999810,19,6
1606001695,5,17
1606002896,1,1
1606004714,8,10
1606005286,0,9
1606006667,18,4
1606007852,1,9
1606008894,2,4
1606011954,18,16
1606013451,3,11
1606015547,1,12
1606017029,2,11
1606019706,12,23
1606022754,4,8
1606023944,8,5
1606026896,13,16
1606028199,2,2
1606029377,10,14
1606031441,8,4
1606033043,19,19
1606034096,15,33
1606035551,17,22
1606037153,10,2
1606037685,5,12
1606040747,35,21
1606042113,16,16
1606044884,15,34
1606046275,8,6
1606047668,3,11
1606049462,6,18
1606050753,4,27
1606052091,6,16
1606058748,44,50
1606059285,3,33
1606060407,6,0
1606062347,9,20
1606063718,8,23
1606064894,4,10
1606066486,13,9
1606068224,17,19
1606070093,13,16
1606073682,24,30
1606075182,11,16
1606076753,148,0
1606077292,68,10
1606078796,225,18
1606080351,15,13
1606080909,2,11
1606083943,58,8
1606085450,31,8
1606086778,10,18
1606089477,5,37
1606091149,73,10
1606091689,31,9
1606093197,8,6
1606094747,1,0
1606095289,3,16
1606098924,13,30
1606100995,2,10
1606102495,2,5
1606106107,11,24
1606109170,23,38
1606110478,10,17
1606111635,5,50
1606112814,7,2
1606114209,8,9
1606116899,18,19
1606118031,10,1
1606119247,12,23
1606120931,22,18
1606122270,8,11
1606124100,16,13
1606126069,16,17
1606127437,10,17
1606128613,10,0
1606130195,9,15
1606131291,7,13
1606132807,11,11
1606134045,11,3
1606134889,5,10
1606136795,11,18
1606137945,7,0
1606139449,7,17
1606142098,9,37
1606144982,23,22
1606145707,6,7
1606146865,9,0
1606148774,6,16
1606149870,4,5
1606152888,28,14
