DateTime,AddedIPs,RemovedIPs
1605810845,78,82
1605811999,52,0
1605813905,93,90
1605814445,26,68
1605816744,95,101
1605818042,0,24212
1605819852,24188,0
1605821648,62,79
1605822913,43,1
1605824618,66,92
1605825852,36,79
1605827222,42,71
1605828847,62,75
1605830336,49,63
1605831573,0,24088
1605832445,24104,0
1605836055,146,169
1605837941,88,107
1605839105,63,0
1605840605,67,94
1605843247,143,204
1605844353,62,0
1605846224,72,289
1605846845,23,180
1605850451,183,580
1605852513,98,263
1605854046,64,238
1605855141,51,0
1605857104,92,180
1605857646,20,146
1605859799,149,307
1605861245,64,207
1605862366,62,1
1605863516,66,257
1605864849,69,150
1605866700,72,123
1605867905,55,0
1605869410,75,110
1605872044,114,175
1605873369,61,46
1605875104,133,67
1605875646,70,131
1605877941,133,87
1605879245,82,91
1605880396,60,0
1605881601,66,82
1605882844,45,87
1605884802,111,157
1605886446,77,86
1605888869,109,74
1605890044,44,60
1605891998,67,58
1605893644,45,53
1605895355,36,73
1605897245,70,79
1605898510,66,0
1605900304,70,68
1605900844,19,71
1605903419,107,63
1605904445,44,99
1605906254,67,94
1605908046,91,92
1605909548,60,67
1605910730,44,6
1605911645,35,187
1605914704,122,191
1605916205,83,197
1605917983,85,223
1605919712,89,135
1605920853,45,75
1605922447,63,80
1605925255,110,90
1605927005,50,124
1605929648,94,316
1605931481,62,136
1605933246,35,122
1605936844,131,299
1605938648,93,166
1605940443,67,192
1605943504,168,168
1605944046,23,153
1605946936,102,264
1605947645,20,193
1605949152,66,169
1605950705,68,10
1605951244,14,165
1605953751,87,192
1605955805,94,154
1605957132,44,178
1605958247,40,139
1605961401,87,258
1605963005,42,212
1605965644,80,176
1605968672,115,98
1605970566,68,134
1605972305,60,66
1605972844,14,84
1605974355,61,70
1605975517,49,3
1605976452,28,76
1605979505,123,64
1605980045,24,72
1605982553,80,83
1605983645,36,76
1605985259,61,97
1605986704,67,0
1605987245,25,74
1605988623,64,28
1605990083,195,53
1605990846,141,77
1605993906,307,85
1605995405,382,55
1605998051,785,125
1605999751,686,64
1606001646,515,86
1606002816,338,0
1606003946,335,68
1606005244,353,78
1606006612,360,25
1606007782,414,50
1606008846,321,86
1606011905,858,65
1606013405,247,74
1606015505,66,71
1606016980,61,57
1606019646,87,130
1606022705,109,61
1606023895,42,65
1606026853,89,137
1606028121,72,0
1606029338,42,122
1606031404,57,52
1606032946,44,83
1606034045,56,75
1606035466,54,24
1606037105,51,48
1606037644,16,74
1606040705,124,91
1606042053,47,86
1606044846,80,212
1606046239,47,66
1606047629,37,69
1606049415,49,89
1606050718,34,90
1606052050,36,84
1606058706,215,203
1606059245,32,129
1606060374,181,0
1606062307,447,71
1606063684,160,68
1606064857,76,43
1606066446,131,62
1606068151,150,80
1606070045,119,59
1606073644,438,151
1606075131,136,67
1606076704,165,4
1606077244,89,92
1606078731,266,70
1606080305,104,5
1606080854,28,56
1606083905,303,72
1606085412,125,63
1606086739,66,71
1606088045,52,92
1606089374,35,1
1606091109,129,106
1606091646,50,77
1606093163,75,52
1606094705,83,11
1606095247,47,81
1606098856,154,135
1606100961,94,57
1606102445,59,40
1606106055,200,133
1606109105,106,108
1606110402,57,63
