DateTime,Entries,UniqueIPs
1605572672,1147,1197
1605575585,1120,1173
1605577481,1125,1179
1605579388,1122,1179
1605581331,1126,1181
1605583521,1147,1204
1605585389,1154,1207
1605587318,1169,1219
1605589263,1180,1228
1605591159,1175,1228
1605593078,1179,1234
1605595004,1179,1238
1605596901,1177,1232
1605598840,1210,1269
1605600739,1224,1283
1605603639,1234,1283
1605605554,1228,1276
1605607488,1230,1277
1605609379,1221,1271
1605612288,1204,1254
1605615145,1183,1234
1605618047,1189,1244
1605619960,1193,1247
1605621865,1192,1247
1605623781,1192,1250
1605626665,1203,1260
1605628612,1217,1275
1605630503,1227,1285
1605634382,1213,1267
1605638197,1205,1257
1605640132,1206,1258
1605642029,1223,1281
1605643977,1235,1294
1605645889,1244,1303
1605648738,1248,1307
1605650663,1243,1306
1605652621,1242,1310
1605654504,1231,1298
1605656438,1222,1286
1605660258,1215,1278
1605662183,1218,1284
1605664136,1221,1289
1605666041,1223,1289
1605668901,1225,1292
1605670844,1228,1293
1605672771,1226,1290
1605674650,1213,1279
1605676586,1210,1275
1605678532,1217,1282
1605681420,1194,1255
1605683306,1180,1241
1605686210,1182,1236
1605688357,1158,1219
1605690282,1170,1232
1605692200,1176,1235
1605694106,1186,1244
1605696043,1188,1246
1605697969,1216,1278
1605699864,1231,1292
1605701783,1228,1292
1605703728,1243,1309
1605705625,1237,1300
1605707546,1247,1309
1605709503,1253,1312
1605712399,1249,1312
1605714273,1259,1320
1605716181,1259,1321
1605718121,1247,1308
1605721017,1247,1308
1605722903,1256,1320
1605725853,1257,1324
1605727721,1250,1318
1605730579,1220,1287
1605732532,1221,1288
1605734428,1236,1304
1605736362,1229,1296
1605738291,1222,1288
1605740203,1219,1281
1605742108,1212,1277
1605744056,1200,1266
1605745961,1224,1290
1605747877,1231,1293
1605749805,1221,1287
1605751708,1204,1271
1605753616,1188,1259
1605755580,1188,1263
1605757468,1189,1261
1605759390,1198,1268
1605761328,1197,1263
1605763223,1199,1266
1605767083,1195,1268
1605768974,1189,1263
1605772131,1201,1274
1605774017,1194,1271
1605775938,1200,1278
1605780764,1139,1206
1605783678,1142,1209
1605786534,1117,1182
1605788447,1117,1183
1605790370,1115,1184
1605792291,1118,1186
1605795173,1119,1186
1605798048,1103,1170
1605799948,1104,1174
1605801876,1095,1166
1605804746,1094,1159
1605806702,1110,1178
1605808590,1103,1170
1605810505,1112,1181
1605813637,1113,1186
1605815565,1122,1195
1605818452,1120,1190
1605820370,1118,1185
1605824186,1119,1183
1605826147,1121,1186
1605829008,1119,1179
1605830932,1126,1188
1605832840,1128,1187
1605834795,1123,1185
1605836674,1131,1195
1605838578,1145,1207
1605840530,1169,1231
1605844345,1145,1206
1605846305,1146,1209
1605848189,1144,1205
1605852056,1147,1202
1605853942,1138,1196
1605855884,1147,1205
1605857825,1166,1226
1605859950,1156,1216
1605861867,1150,1212
1605863806,1144,1208
1605865722,1158,1224
1605868604,1166,1232
1605870488,1165,1231
1605873407,1159,1226
1605875345,1157,1218
1605878305,1164,1224
1605880380,1157,1216
1605884215,1157,1212
1605886126,1167,1221
1605889965,1128,1181
1605891862,1126,1178
1605893811,1127,1183
1605897630,1114,1165
1605899574,1142,1196
1605901471,1154,1207
1605903393,1164,1223
1605905351,1168,1227
1605907234,1169,1226
1605909149,1184,1242
1605911093,1193,1254
1605915910,1174,1228
1605917810,1183,1236
1605919704,1175,1230
1605921643,1181,1234
1605923589,1185,1235
1605925476,1183,1235
1605927427,1185,1236
1605929330,1205,1257
1605931237,1197,1249
1605933191,1196,1248
1605935068,1197,1251
1605937013,1216,1270
1605938928,1208,1262
1605943737,1193,1244
1605945649,1195,1246
1605947548,1192,1245
1605949724,1203,1253
1605952600,1193,1242
1605954513,1214,1263
1605957395,1186,1229
1605959323,1205,1248
1605962215,1202,1244
1605964120,1219,1261
1605966031,1202,1243
1605967974,1197,1238
1605969890,1223,1264
1605971820,1234,1274
1605973686,1239,1278
1605975610,1254,1294
1605977588,1256,1296
1605979484,1265,1305
1605982355,1258,1297
1605984265,1262,1295
1605986238,1246,1277
1605988102,1237,1267
1605990028,1227,1255
1605991967,1212,1239
1605993874,1210,1236
1605995789,1212,1236
1605998675,1196,1219
1606000605,1215,1239
1606005379,1183,1204
1606007559,1178,1196
1606009469,1172,1188
1606013312,1139,1155
1606017166,1093,1107
1606019093,1096,1109
1606020998,1081,1094
1606023877,1035,1044
1606025818,1038,1047
1606027692,1064,1074
1606029651,1080,1091
1606031586,1067,1077
1606033481,1068,1078
1606035379,1049,1059
1606037325,1034,1043
1606039231,1024,1033
1606042105,1025,1035
1606045010,1026,1036
1606047149,1020,1029
1606049063,1007,1016
1606051004,1007,1016
1606052902,1013,1023
1606054910,1015,1025
1606056876,1012,1022
1606058922,1003,1011
1606060830,988,996
1606062774,985,993
1606064679,975,983
1606066607,972,981
1606068514,989,998
1606070456,997,1006
1606072384,1002,1009
1606074267,1002,1009
1606076211,988,995
1606083146,912,920
1606085060,929,937
1606087055,913,921
1606088900,927,935
1606090830,940,948
1606092781,925,933
1606094673,923,930
1606096593,909,916
1606098527,928,935
1606100465,918,923
1606102370,932,938
1606104296,923,929
1606106214,905,911
1606110067,910,916
1606113858,887,891
1606115805,884,889
1606117697,893,898
1606120568,863,867
1606122514,850,855
1606124461,848,853
1606126368,834,840
1606130201,829,833
1606132095,827,831
1606134262,834,838
1606136200,844,848
1606138136,846,850
1606140055,836,840
1606141962,839,843
1606143887,840,844
1606145783,834,838
1606147714,832,836
1606149663,831,835
