DateTime,AddedIPs,RemovedIPs
1606494927,33,0
1606495229,45,0
1606495829,82,0
1606496432,90,0
1606496729,48,0
1606497030,28,0
1606497336,45,0
1606497629,46,0
1606498232,82,0
1606498528,55,0
1606498829,37,0
1606499131,46,0
1606499435,42,0
1606499728,47,0
1606500031,49,0
1606500330,43,0
1606500629,42,0
1606500932,38,0
1606501229,47,0
1606501528,37,0
1606501832,37,0
1606502127,53,0
1606502429,49,0
1606502735,43,0
1606503034,47,0
1606503329,42,0
1606503631,37,0
1606503930,40,0
1606504229,49,0
1606504530,35,0
1606504830,45,0
1606505128,45,0
1606505431,43,0
1606505728,46,0
1606506029,29,0
1606506335,42,0
1606506631,56,0
1606506928,44,0
1606507233,46,0
1606507531,49,0
1606507829,48,0
1606508132,35,0
1606508429,45,1
1606508729,49,0
1606509034,53,0
1606509328,46,0
1606509630,41,0
1606509930,52,0
1606510232,50,0
1606510528,40,0
1606510833,48,0
1606511132,50,0
1606511429,39,0
1606511731,43,0
1606512030,49,0
1606512329,57,0
1606512630,39,0
1606513229,95,0
1606513531,44,0
1606513828,40,0
1606514128,51,0
1606514432,46,0
1606515029,90,0
1606515330,49,0
1606515630,37,0
1606515930,47,0
1606516232,47,0
1606516528,43,0
1606516829,41,0
1606517133,45,0
1606517429,46,0
1606517728,38,0
1606518040,43,0
1606518330,54,0
1606518630,49,0
1606518933,49,0
1606519229,52,0
1606519528,30,0
1606519834,43,0
1606520428,90,0
1606520731,56,0
1606521028,47,0
1606521328,46,0
1606521637,31,0
1606521933,44,0
1606522228,55,0
1606522532,47,0
1606522830,42,1
1606523128,62,0
1606523432,52,0
1606523727,38,0
1606524028,42,0
1606524333,39,0
1606524629,47,0
1606524927,54,0
1606525237,43,0
1606525828,93,0
1606526134,39,0
1606526429,38,0
1606526729,42,0
1606527031,51,0
1606527328,47,0
1606527628,48,0
1606527934,46,0
1606528232,38,0
1606528529,36,0
1606528834,34,0
1606529428,90,0
1606529734,36,0
1606530028,45,0
1606530329,41,0
1606530630,39,0
1606530928,42,0
1606531228,44,0
1606531530,48,0
1606531829,34,0
1606532127,40,0
1606532434,39,0
1606532731,46,0
1606533028,36,0
1606533330,38,0
1606533630,44,0
1606533928,57,0
1606534231,46,0
1606534528,47,0
1606534828,54,0
1606535132,39,0
1606535428,47,0
1606535728,40,0
1606536034,42,0
1606536330,39,0
1606536629,48,0
1606536928,37,0
1606537229,47,0
1606537528,36,0
1606537829,45,0
1606538127,59,0
1606538427,49,0
1606538730,47,0
1606539031,42,0
1606539327,44,0
1606539634,20,0
1606539931,40,0
1606540228,39,0
1606540530,53,0
1606540829,46,0
1606541129,49,0
1606541429,43,0
1606541727,29,0
1606542030,37,0
1606542331,44,0
1606542631,46,0
1606542927,42,0
1606543232,38,0
1606543530,53,0
1606543828,43,0
1606544128,46,0
1606544428,40,0
1606544730,45,0
1606545030,33,0
1606545328,44,0
1606545629,54,0
1606545928,56,0
1606546230,52,0
1606546527,48,0
1606546833,40,0
1606547129,52,0
1606547428,52,0
1606547731,51,0
1606548030,44,0
1606548329,34,0
1606548633,30,0
1606548928,52,0
1606549229,39,0
1606549529,49,0
1606549830,41,0
1606550128,49,0
1606550435,44,0
1606550730,38,0
1606551028,49,0
1606551329,48,0
1606551630,44,0
1606551929,50,0
1606552229,49,0
1606552527,39,0
1606552828,45,0
1606553130,35,0
1606553429,47,0
1606553727,39,0
1606554034,39,0
1606554330,40,0
1606554628,43,0
1606554932,48,0
1606555228,36,0
1606555528,46,0
1606555829,42,0
1606556127,44,0
1606556429,47,0
1606556731,54,0
1606557032,45,0
1606557328,40,0
1606557633,38,0
1606557933,49,0
1606558229,64,0
1606558529,43,0
1606558829,43,0
1606559128,42,0
