DateTime,AddedIPs,RemovedIPs
1606236124,4,0
1606236724,1,0
1606237924,2,0
1606238524,1,0
1606239070,27,18
1606239724,7,0
1606240324,8,0
1606240924,31,24
1606242124,6,0
1606242685,24,29
1606242781,2,0
1606243325,2,0
1606244524,37,37
1606245724,1,0
1606246382,2,1
1606246924,5,0
1606248124,1,0
1606249324,3,0
1606249981,42,34
1606250524,3,0
1606251724,1,0
1606252324,0,1
1606252924,3,0
1606253468,26,18
1606253581,1,0
1606254124,6,0
1606255349,19,33
1606255924,2,0
1606256524,1,0
1606257181,4,0
1606258324,5,0
1606259524,3,0
1606260124,5,0
1606260665,24,21
1606261324,7,0
1606263723,4,0
1606264276,43,16
1606264924,1,3
1606265604,1,0
1606266124,2,1
1606267324,4,0
1606268524,1,0
1606269124,4,0
1606269724,45,24
1606270323,1,0
1606270924,8,0
1606271581,5,1
1606272124,1,0
1606273324,41,84
1606274087,2,0
1606274524,1,0
1606275073,126,85
1606275724,3,0
1606278124,3,0
1606279324,4,0
1606279924,2,0
1606280524,56,54
1606281724,16,0
1606282324,36,47
1606282924,1,0
1606283524,4,0
1606284124,11,0
1606285871,36,42
1606286524,2,0
1606287723,1,0
1606288924,1,1
1606289525,30,16
1606290724,2,0
1606292524,4,0
1606293089,21,17
1606293181,2,0
1606294324,1,0
1606294923,22,21
1606297324,2,1
1606298523,1,0
1606300265,16,15
1606301524,4,0
1606302124,3,0
1606303438,3,0
1606303924,18,20
1606305124,1,0
1606305724,1,0
1606307469,22,20
1606308123,1,1
1606309324,16,20
1606311124,2,0
1606311724,1,0
1606312924,3,0
1606313524,4,0
1606314781,6,0
1606315324,3,0
1606315923,3,0
1606316524,40,31
1606317124,1,0
1606317723,4,0
1606318324,1,0
1606318381,4,0
1606318923,5,0
1606319524,4,0
1606320163,2,0
1606321323,7,0
1606321868,16,21
1606322523,6,0
1606323724,12,0
1606324324,2,0
1606324924,1,0
1606325524,31,19
1606326123,8,0
1606327323,6,1
1606327923,6,0
1606328524,1,0
1606329103,24,24
1606329724,5,0
1606330923,8,0
1606332123,6,0
1606332892,1,0
1606333324,3,0
1606334524,26,19
1606335723,6,2
1606336283,13,25
1606336924,2,0
1606337523,2,0
1606338123,13,0
1606339324,4,0
1606339924,22,24
1606340524,4,0
1606341724,3,0
1606342923,2,0
1606343472,22,26
1606344124,6,0
1606344723,1,0
1606345323,3,0
1606345923,2,0
1606346523,1,0
1606347123,28,24
1606347723,5,0
1606348323,3,0
1606348924,1,0
1606350123,5,0
1606350673,45,31
1606351323,3,0
1606352524,48,28
