DateTime,Entries,UniqueIPs
1606365334,122699,9271620
1606365862,122716,9271638
1606366054,122737,9271659
1606366774,122743,9271662
1606367494,122745,9271659
1606367792,122743,9271657
1606368214,122734,9271650
1606368934,122720,9271631
1606369756,122733,9271638
1606370375,122715,9271621
1606371094,122696,9271605
1606371814,122658,9271566
1606372611,122656,9271567
1606373254,122675,9271585
1606373974,122717,9271627
1606374695,122736,9271644
1606375415,122741,9271654
1606375684,122743,9271656
1606376189,122706,9271619
1606376424,122702,9271615
1606376854,122666,9271579
1606377574,122637,9271549
1606378363,122637,9271549
1606379014,122604,9271516
1606379734,122600,9271512
1606380266,122615,9271526
1606380455,122609,9271524
1606381174,122593,9271507
1606381894,122593,9271506
1606382192,122599,9271512
1606382614,122602,9271512
1606383334,122586,9271495
1606384141,122604,9271513
1606384774,122614,9271523
1606385495,122604,9271511
1606386027,122614,9275555
1606386215,122588,9275526
1606386934,122579,9275517
1606387654,122551,9275486
1606387931,122544,9275478
1606388374,122517,9275450
1606389094,122549,9275478
1606389901,122572,9275501
1606390534,122580,9275510
1606390808,122556,9275485
1606391254,122559,9275488
1606391974,122543,9275472
1606392761,122504,9275433
1606393414,122484,9275414
1606394134,122474,9275404
1606394664,122480,9275410
1606394854,122496,9275426
1606395575,122513,9275442
1606396294,122508,9275447
1606396581,122517,9275455
1606397014,122499,9275437
1606397736,122497,9275436
1606398551,122503,9275442
1606399174,122491,9275420
1606399894,122504,9275433
1606400430,122502,9275431
1606400614,122532,9275460
1606401335,122547,9275471
1606402055,122529,9275455
1606402358,122536,9275461
1606402774,122521,9275450
1606403494,122530,9275459
1606404292,122549,9275475
1606405174,122502,9275427
1606405695,122468,9275392
1606406136,122454,9275375
1606406854,122448,9275370
1606407574,122458,9275380
1606408145,122454,9275377
1606408348,122456,9275379
1606409014,122473,9275397
1606409735,122475,9275397
1606410051,122490,9275412
1606410455,122504,9275427
1606411174,122491,9275413
1606411966,122511,9275441
1606412614,122513,9275450
1606413334,122490,9275430
1606413884,122502,9275442
1606414055,122500,9275437
1606414775,122508,9275446
1606415494,122513,9275446
1606415796,122524,9275457
1606416214,122525,9275462
1606416935,122527,9275461
1606417746,122524,9275457
1606418374,122527,9275460
1606419095,122524,9275458
1606419625,122529,9275463
1606419814,122537,9275474
1606420327,122502,9275440
1606420535,122521,9275456
1606421254,122518,9275453
1606421545,122515,9275449
1606421975,122498,9275427
1606422694,122499,9275428
1606423532,122505,9275436
1606424134,122497,9275424
1606424854,122492,9275421
1606425399,122501,9275430
1606425575,122499,9275428
1606426294,122508,9275437
1606427014,122536,9275466
1606427734,122561,9275489
1606428271,122564,9275490
1606428455,122577,9275503
1606429174,122566,9275489
1606429895,122566,9275492
1606430187,122567,9275492
1606430614,122573,9275506
1606431334,122587,9275520
1606432161,122600,9275537
1606432775,122601,9275539
1606433494,122612,9275549
1606434042,122616,9275554
1606434214,122590,9275529
1606434988,122565,9275502
1606435655,122585,9275513
1606435942,122591,9275519
1606436374,122616,9275545
1606437094,122632,9275561
1606437894,122633,9275565
1606438534,122660,9275591
1606439254,122666,9275597
1606439781,122667,9275598
1606439974,122671,9275602
1606440694,122665,9275597
1606441414,122657,9275585
1606441702,122658,9275586
1606442134,122670,9275598
1606442854,122685,9275618
1606443574,122700,9275629
1606444294,122719,9275649
1606444586,122730,9275660
1606445014,122746,9275675
1606445734,122752,9275683
1606446570,122791,9275716
1606447174,122800,9275725
1606447894,122823,9275749
1606448437,122830,9275756
1606448614,122834,9275760
1606449334,122835,9275763
1606449605,122794,9275722
1606450054,122791,9275717
1606450345,122796,9275722
1606450774,122786,9275713
1606451495,122788,9275715
1606452008,122789,9275716
1606452313,122777,9275703
1606452935,122758,9275686
1606453655,122759,9275686
1606454182,122765,9275694
1606454374,122783,9275715
1606455094,122782,9275714
1606455814,122772,9275702
1606456108,122779,9275709
1606456535,122765,9275694
1606457254,122748,9275678
1606458041,122753,9275683
1606458694,122743,9275673
1606459414,122728,9275650
1606459959,122735,9275657
1606460134,122717,9275641
1606460855,122684,9275607
1606461574,122668,9275591
1606461864,122661,9275584
1606462295,122659,9275580
1606463043,122659,9275580
1606463863,122654,9275575
1606464248,122618,9275538
1606464455,122619,9275539
1606465175,122607,9275530
1606465722,122613,9275534
1606465894,122625,9275539
1606466614,122624,9275540
1606467334,122639,9275550
1606468054,122640,9275551
1606468581,122659,9275570
1606468774,122645,9275560
1606469494,122648,9275563
1606470214,122671,9275587
1606470500,122680,9275597
1606470934,122685,9275599
1606471654,122678,9275600
1606472473,122692,9275583
1606473095,122692,9275591
1606473814,122760,9275665
1606474360,122770,9275675
1606474535,122757,9275662
1606475254,122730,9275636
1606475974,122716,9275622
1606476261,122708,9275614
1606476695,122673,9275579
1606477414,122652,9275558
1606478205,122653,9275559
1606478911,122616,9275521
1606479574,122615,9275523
1606480089,122616,9275522
1606480294,122591,9275501
1606481014,122580,9275497
1606481734,122552,9275471
1606482454,122545,9275464
1606482983,122557,9275476
1606483175,122557,9275476
1606483894,122548,9275467
1606484614,122565,9275488
1606484908,122576,9275497
1606485334,122581,9275501
1606486055,122582,9275500
1606486774,122554,9275471
1606487494,122556,9275474
1606487791,122560,9275480
1606488214,122572,9275482
1606488934,122578,9275489
1606489754,122594,9275509
1606490375,122590,9275503
1606491094,122580,9275498
1606491648,122578,9275493
1606492054,122599,9275514
1606493014,122597,9275512
1606493617,122529,9275443
1606493975,122521,9275439
1606494695,122526,9275443
1606495491,122549,9275471
1606495929,122553,9275475
1606496374,122558,9275478
1606497094,122576,9275496
1606497391,122581,9275500
1606497814,122570,9275489
1606498534,122552,9275472
1606499255,122571,9275490
1606499974,122580,9275502
1606500286,122579,9275501
1606500695,122571,9275492
1606501414,122575,9275496
1606502203,122585,9275511
1606502854,122590,9275510
1606503575,122623,9275543
1606504156,122629,9275548
1606504294,122646,9275562
1606505014,122646,9275562
1606505734,122651,9275567
1606506454,122649,9275562
1606506723,122650,9275563
1606507017,122654,9275567
