DateTime,AddedIPs,RemovedIPs
1606162323,3,0
1606164123,1,0
1606165324,4,0
1606167723,9,0
1606168924,2,0
1606169523,1,0
1606170123,2,0
1606171324,2,0
1606173123,3,0
1606174924,5,1
1606176124,3,1
1606176724,2,0
1606177324,1,0
1606177981,1,0
1606178524,2,0
1606179123,0,1
1606180323,3,0
1606180923,1,0
1606181524,3,0
1606183323,1,0
1606184524,4,0
1606185181,1,0
1606186923,3,0
1606187524,1,0
1606188123,1,1
1606188724,1,0
1606190524,2,0
1606191724,1,0
1606192924,5,0
1606195324,1,2
1606195982,5,0
1606197724,2,0
1606198324,3,0
1606198924,4,0
1606199581,1,0
1606201924,3,0
1606202524,1,0
1606203124,1,0
1606203724,2,0
1606204924,4,0
1606207324,3,0
1606208524,4,0
1606209724,3,1
1606210324,2,0
1606210924,1,0
1606211524,3,0
1606213324,1,0
1606214524,3,0
1606215724,3,0
1606216324,14,0
1606216924,2,0
1606218124,2,0
1606218724,6,0
1606220523,3,0
1606221124,3,0
1606221724,1,0
1606223524,1,0
1606225924,1,0
1606226524,1,0
1606227724,1,0
1606230124,11,0
1606233124,7,0
1606233724,2,0
1606234923,5,0
1606235582,1,0
1606236124,4,0
1606236724,1,0
1606237924,2,0
1606238524,1,0
1606239724,7,0
1606240324,8,0
1606240924,2,0
1606242124,6,0
1606242781,2,0
1606243325,2,0
1606244524,1,0
1606245724,1,0
1606246382,2,1
1606246924,5,0
1606248124,1,0
1606249324,3,0
1606249981,4,0
1606250524,3,0
1606251724,1,0
1606252324,0,1
1606252924,3,0
1606253581,1,0
1606254124,6,0
1606255324,2,0
1606255924,2,0
1606256524,1,0
1606257181,4,0
1606258324,5,0
1606259524,3,0
1606260124,5,0
1606261324,7,0
1606263723,5,0
1606264924,1,3
1606265523,1,0
1606266124,2,1
1606267324,4,0
1606268524,1,0
1606269124,4,0
1606269724,1,0
1606270323,1,0
1606270924,8,0
1606271581,5,1
1606272124,1,0
1606273324,5,1
1606273924,2,0
1606274524,1,0
1606275724,3,0
1606278124,3,0
1606279324,4,0
1606279924,2,0
1606280524,6,0
1606281724,16,0
1606282324,1,0
1606282924,1,0
1606283524,4,0
1606284124,11,0
1606286524,2,0
1606287723,1,0
1606288924,1,1
1606289525,3,0
1606290724,2,0
1606292524,4,0
1606293181,2,0
1606294324,1,0
1606294923,7,0
1606297324,2,1
1606298523,1,0
1606301524,4,0
1606302124,3,0
1606303324,3,0
1606303924,1,0
1606305124,1,0
1606305724,1,0
1606308123,1,1
1606309324,2,0
1606311124,2,0
1606311724,1,0
1606312924,3,0
1606313524,4,0
1606314781,6,0
1606315324,3,0
1606315923,3,0
1606316524,2,0
1606317124,1,0
1606317723,4,0
1606318324,1,0
1606318381,4,0
1606318923,5,0
1606319524,4,0
1606320123,2,0
1606321323,7,0
1606322523,6,0
1606323724,12,0
1606324324,2,0
1606324924,1,0
1606325524,8,0
1606326123,8,0
1606327323,6,1
1606327923,6,0
1606328524,1,0
1606329724,5,0
1606330923,8,0
1606332123,6,0
1606332782,1,0
1606333324,3,0
1606334524,3,0
1606335723,6,2
1606336924,2,0
1606337523,2,0
1606338123,13,0
1606339324,4,0
1606339924,1,0
1606340524,4,0
1606341724,3,0
1606342923,2,0
1606344124,6,0
1606344723,1,0
1606345323,3,0
1606345923,2,0
1606346523,1,0
1606347723,5,0
1606348323,3,0
1606348924,1,0
1606350123,5,0
1606351323,3,0
1606352524,1,0
1606353123,1,0
1606353723,1,0
1606354924,4,0
1606356124,7,0
1606357323,2,0
1606358523,15,0
1606359723,3,0
1606360323,8,0
1606360924,3,0
1606362124,5,0
1606363323,3,0
1606363924,1,0
1606364524,5,0
1606365182,3,0
1606366323,6,0
1606366923,1,0
1606368123,7,0
1606369324,0,3
1606369924,5,0
1606371723,4,0
1606374123,11,0
1606374724,2,0
1606375323,2,0
1606376523,1,0
1606377123,4,0
1606377723,2,0
1606378923,1,0
1606380123,3,0
1606381323,5,0
1606381923,0,1
1606382524,4,0
1606383724,8,0
1606384924,4,0
1606386123,1,0
1606386723,5,0
1606387924,4,1
1606388523,2,0
1606389123,2,0
1606389723,2,0
1606390923,1,0
1606391523,2,1
1606392124,1,0
1606392724,0,1
1606393323,3,0
1606394524,1,0
1606395724,3,0
1606396923,6,0
1606397523,0,1
1606398124,1,0
1606398723,3,0
1606399924,1,0
1606400523,1,0
1606401723,4,0
1606402323,4,0
1606404123,1,0
1606404723,3,0
1606405324,3,0
1606407123,2,0
1606407723,6,0
1606410124,3,0
1606411323,1,0
1606412524,1,0
1606413124,1,0
1606414923,5,0
1606416123,2,0
1606417323,1,0
1606418523,3,2
1606421523,0,1
1606422723,1,0
1606423323,1,0
1606424523,1,0
1606425724,4,0
1606426324,7,0
1606426924,1,0
1606427523,3,1
1606428123,3,0
1606428724,1,0
1606429324,1,0
1606429982,2,0
1606430524,1,0
1606431723,1,2
1606432923,1,0
1606434123,2,0
1606435323,4,0
1606436523,3,0
1606437723,1,2
1606438924,7,0
1606440123,1,0
1606440782,1,0
1606441324,1,0
1606441923,2,0
1606442524,1,0
1606443124,0,1
1606444923,1,1
1606446123,2,0
1606446724,0,1
1606447323,8,0
1606448523,0,3
1606449723,3,2
1606450324,1,6
1606450923,0,1
1606452123,4,0
1606454523,0,5
1606455724,2,2
1606456324,1,0
1606458124,0,1
1606459323,4,5
1606460524,4,2
1606461123,1,0
1606461723,1,6
1606462923,3,0
1606464127,2,0
1606464723,0,2
1606465323,5,0
1606466523,1,2
1606467124,1,0
1606467723,2,0
1606468924,1,0
1606470124,2,0
1606470723,1,1
1606471323,7,0
1606472523,5,1
1606473181,0,1
1606473723,1,0
1606475523,3,0
1606476123,6,0
1606477323,2,0
1606478524,5,0
1606479123,7,0
1606480381,2,0
1606480924,3,0
1606482123,2,1
1606482723,1,0
1606483323,2,0
1606483923,1,0
1606485123,1,0
1606485723,1,0
1606486923,3,0
1606487581,1,0
1606488123,7,0
1606489324,3,0
1606490523,1,0
1606491723,32,0
1606492323,2,0
1606492923,1,0
1606493524,3,0
1606494123,4,0
1606495324,4,0
1606496523,1,0
1606497723,1,0
1606498324,3,1
1606498924,2,0
1606499523,1,0
1606500123,1,0
1606500723,1,0
1606501323,3,0
1606501981,5,0
1606502523,2,0
1606503123,2,0
1606504923,1,0
1606506123,1,0
1606506723,0,1
1606507323,1,0
1606508524,2,0
1606509723,3,1
1606510923,2,0
1606512123,1,0
1606512724,2,0
1606513323,2,0
1606514523,5,0
1606515723,1,0
1606516382,3,0
1606516923,2,0
1606518123,2,0
1606519323,5,0
1606519924,3,2
1606520524,5,0
1606521123,1,0
1606522323,5,0
1606522924,4,0
1606524123,1,0
1606524723,1,0
1606525323,3,0
1606526524,3,0
1606528923,7,0
1606530124,4,0
1606531323,10,0
1606533723,3,0
1606534923,8,0
1606536123,0,1
1606537323,3,0
1606538523,3,0
1606539723,3,0
1606540923,3,1
1606541523,1,0
1606542124,2,0
1606543323,4,3
1606544523,1,0
1606545723,2,1
1606546923,1,0
1606547524,3,0
1606548124,1,0
1606549323,2,0
1606550523,1,1
1606551723,2,0
1606552923,2,0
1606553524,1,0
1606554124,3,0
1606554724,1,0
1606555323,5,0
1606556523,1,0
1606557123,2,0
1606557723,0,1
1606557783,1,0
1606558923,1,0
1606559523,0,1
1606560124,1,0
1606561923,2,0
1606563723,6,0
1606564923,1,0
1606565523,2,0
1606566123,7,0
1606567323,1,0
1606567923,7,0
1606568523,1,1
1606569723,4,0
1606570324,4,0
1606570923,3,0
1606572123,6,0
1606573324,3,0
1606573981,3,0
1606574523,5,0
1606575723,1,1
1606576923,0,2
1606577524,2,0
1606578123,1,1
1606579323,6,0
1606579923,14,0
1606580524,5,0
1606581124,3,0
1606581723,5,0
1606582923,1,0
1606584123,4,0
1606585323,8,0
