DateTime,Entries,UniqueIPs
1606214524,6276,6874
1606215724,6257,6843
1606216324,6267,6856
1606216924,6259,6844
1606218124,6256,6840
1606218724,6213,6797
1606219324,6216,6798
1606220523,6190,6777
1606221124,6184,6770
1606221724,6187,6776
1606222924,6180,6766
1606223524,6168,6752
1606224124,6173,6752
1606224724,6182,6759
1606225324,6192,6773
1606225924,6172,6755
1606226524,6165,6745
1606227724,6185,6765
1606228923,6169,6758
1606230124,6192,6783
1606230724,6164,6754
1606231324,6157,6749
1606231925,6162,6752
1606232524,6182,6773
1606233124,6209,6805
1606233724,6232,6833
1606234324,6155,6749
1606234924,6168,6765
1606235524,6184,6777
1606236124,6193,6794
1606236724,6181,6785
1606237324,6165,6768
1606238524,6119,6722
1606239724,6123,6731
1606240324,6126,6733
1606240924,6114,6726
1606242124,6118,6735
1606242724,6078,6698
1606243325,6089,6709
1606244524,6069,6690
1606245124,6048,6662
1606245724,6040,6659
1606246924,6036,6652
1606248124,6022,6641
1606249324,6046,6671
1606249924,6035,6659
1606250524,6016,6638
1606251124,6029,6655
1606252324,6024,6641
1606252924,6020,6627
1606254124,6037,6647
1606255324,6018,6629
1606255924,6037,6652
1606256524,6044,6662
1606257124,6051,6665
1606257724,6063,6682
1606258324,6104,6726
1606258924,6096,6713
1606260124,6100,6721
1606261324,6121,6752
1606261924,6138,6764
1606262525,6161,6788
1606263723,6136,6761
1606264924,6145,6765
1606265523,6153,6781
1606266124,6162,6792
1606267324,6163,6802
1606268524,6138,6776
1606269124,6109,6745
1606269724,6112,6757
1606270924,6145,6793
1606271524,6161,6811
1606272124,6183,6837
1606273324,6181,6835
1606273924,6186,6840
1606274524,6190,6842
1606275724,6182,6830
1606276324,6171,6821
1606276924,6178,6828
1606278124,6180,6831
1606278724,6186,6837
1606279924,6154,6807
1606280524,6164,6819
1606281724,6172,6824
1606282324,6167,6817
1606282924,6166,6813
1606283524,6179,6829
1606284124,6209,6867
1606284724,6208,6870
1606285324,6188,6847
1606286524,6172,6831
1606287124,6133,6783
1606287723,6143,6794
1606288924,6151,6805
1606289525,6163,6821
1606290124,6167,6826
1606290724,6186,6845
1606291324,6174,6833
1606292524,6163,6815
1606293124,6211,6869
1606294324,6206,6864
1606294923,6223,6882
1606296123,6215,6876
1606297324,6220,6880
1606298523,6212,6871
1606299724,6184,6843
1606300924,6196,6855
1606301524,6211,6874
1606302124,6220,6876
1606303324,6216,6871
1606303924,6238,6896
1606304523,6297,6957
1606305124,6299,6962
1606305724,6286,6950
1606306324,6300,6958
1606306924,6315,6973
1606308123,6318,6966
1606309324,6334,6987
1606309924,6339,6987
1606310523,6324,6971
1606311124,6332,6982
1606311724,6338,6987
1606312924,6309,6946
1606313524,6322,6963
1606314725,6337,6981
1606315324,6362,7012
1606315923,6367,7019
1606316524,6358,7007
1606317124,6366,7015
1606318324,6370,7018
1606318923,6384,7033
1606319524,6364,7012
1606320123,6341,6981
1606321323,6376,7019
1606322523,6343,6981
1606323724,6362,7001
1606324324,6370,7010
1606324924,6380,7020
1606325524,6396,7037
1606326123,6440,7082
1606327323,6436,7072
1606327923,6445,7077
1606328524,6471,7103
1606329724,6458,7097
1606330923,6440,7076
1606332123,6411,7038
1606333324,6421,7050
1606334524,6420,7050
1606335723,6431,7065
1606336323,6443,7075
1606336924,6456,7092
1606337523,6455,7093
1606338123,6465,7105
1606339324,6471,7116
1606339924,6473,7118
1606340524,6486,7131
1606341724,6492,7131
1606342923,6521,7153
1606344124,6517,7147
1606344723,6460,7087
1606345323,6472,7100
1606345923,6500,7128
1606346523,6445,7068
1606347123,6454,7080
1606347723,6478,7109
1606348323,6457,7083
1606348924,6455,7077
1606350123,6450,7076
1606351323,6434,7060
