DateTime,AddedIPs,RemovedIPs
1606165324,11,9
1606165924,1,8
1606166524,7,2
1606167723,4,6
1606168924,2,11
1606169523,7,0
1606170123,5,14
1606171324,4,6
1606171924,2,0
1606172524,6,19
1606173123,6,6
1606174924,1,12
1606176724,12,19
1606177924,23,15
1606179123,8,1
1606180323,8,8
1606181524,1,5
1606182124,1,8
1606183924,1,0
1606185123,2,0
1606185723,1,5
1606186324,1,0
1606186923,0,2
1606188123,4,5
1606189324,0,11
1606191724,3,18
1606192924,10,20
1606194124,1,20
1606195324,6,7
1606195923,0,1
1606196523,3,1
1606197124,1,0
1606197724,5,0
1606198924,5,4
1606199524,2,0
1606200124,0,3
1606201924,3,2
1606203124,2,6
1606203724,1,8
1606204324,2,3
1606204924,1,2
1606205524,2,0
1606206724,7,31
1606207324,5,29
1606208524,8,0
1606209724,5,35
1606210924,3,8
1606212124,5,14
1606213924,1,2
1606215124,1,17
1606215724,2,9
1606216324,55,0
1606216924,11,1
1606218124,3,1
1606218724,2,2
1606219324,2,1
1606220523,3,0
1606221124,1,3
1606221723,3,0
1606222323,4,2
1606223524,3,1
1606224124,7,1
1606224724,1,4
1606225324,5,0
1606225924,6,4
1606226524,8,0
1606227724,2,3
1606228923,3,6
1606230124,34,0
1606230724,8,10
1606231324,1,0
1606231925,5,0
1606232524,2,1
1606233724,1,16
1606234923,1,1
1606236123,11,3
1606236724,2,0
1606237924,14,4
1606239724,16,0
1606240324,1,1
1606240924,24,1
1606242124,20,0
1606242724,9,1
1606243325,8,0
1606244524,23,15
1606245724,11,16
1606246924,37,15
1606248124,9,3
1606249324,29,0
1606251124,24,14
1606251724,2,8
1606252324,10,15
1606253524,15,0
1606254124,12,0
1606254724,4,2
1606255924,24,8
1606257124,27,4
1606257724,21,2
1606258324,15,5
1606259524,20,3
1606260124,15,0
1606261324,22,0
1606262525,21,7
1606263723,7,13
1606264324,1,6
1606265523,5,4
1606266724,3,0
1606267924,4,6
1606269124,1,1
1606270323,10,0
1606271524,4,4
1606272124,2,0
1606273324,1,0
1606273924,2,0
1606274524,1,5
1606275724,1,1
1606276324,2,0
1606277524,3,2
1606278724,1,5
1606279324,1,0
1606280524,4,2
1606281124,74,5
1606282324,1,0
1606283524,4,0
1606284124,4,0
1606284724,0,1
1606285324,1,5
1606286524,6,2
1606287723,2,2
1606288924,3,4
1606290124,0,8
1606290724,2,3
1606292524,5,9
1606293724,2,3
1606294923,5,3
1606296123,0,1
1606297324,6,1
1606298523,2,2
1606299724,1,1
1606300324,1,1
1606301524,1,1
1606302124,6,0
1606303324,7,41
1606305124,1,2
1606305724,0,2
1606306324,1,5
1606308123,2,4
1606309324,3,0
1606309924,1,8
1606311124,2,19
1606311724,3,0
1606312924,1,13
1606313523,1,7
1606314124,2,3
1606315324,3,0
1606315923,1,32
1606316524,1,12
1606317124,1,0
1606317723,14,1
1606318324,3,7
1606319524,2,2
1606320123,2,0
1606321323,8,1
1606322523,7,12
1606323124,6,18
1606324924,8,2
1606325523,3,10
1606326123,7,0
1606327323,1,17
1606328524,7,10
1606329724,8,7
1606330923,15,6
1606332123,10,11
1606333324,10,20
1606334524,15,3
1606335723,14,13
1606336924,13,22
1606337523,12,0
1606338123,17,3
1606339324,11,4
1606339924,13,15
1606341123,8,3
1606342323,15,23
1606343524,9,33
1606344723,4,49
1606346523,4,49
1606347123,6,0
1606347723,4,0
1606348323,1,25
1606348924,9,10
1606350123,21,0
1606351323,4,7
1606351923,3,3
1606353123,2,14
1606353723,4,0
1606354324,0,7
1606355524,5,13
1606356724,1,0
1606357923,2,2
1606358523,2,0
1606359723,7,4
1606360924,2,3
1606362124,8,4
1606362724,1,0
1606363924,4,3
1606365124,1,0
1606365723,2,7
1606366923,6,21
1606368123,11,0
1606369324,6,18
1606369924,4,11
1606370524,0,7
1606371723,9,11
1606372324,1,11
1606372923,0,2
1606374724,3,3
1606376523,2,15
1606377123,3,7
1606377723,2,3
1606378923,12,1
1606380123,5,10
1606380723,7,0
1606381923,15,4
1606382524,50,8
1606383724,14,0
1606384324,0,6
1606384924,3,0
1606385524,1,6
1606386123,3,2
1606387324,2,1
1606387924,2,4
1606388523,2,0
1606389123,2,6
1606389723,6,0
1606390923,6,1
1606391523,1,0
1606392724,1,5
1606393323,1,0
1606394524,1,3
1606395124,1,5
1606396324,3,1
1606396923,1,0
1606398124,1,1
1606398723,2,1
1606399923,3,3
1606401123,5,0
1606401723,2,3
1606402923,4,2
1606403523,1,16
1606404123,3,0
1606405923,7,1
1606406523,5,2
1606407123,5,13
1606407723,1,0
1606408923,1,20
1606409523,5,0
1606410124,2,0
1606411323,7,15
1606412524,5,1
1606413124,2,1
1606413723,3,0
1606414323,6,8
1606414923,3,7
1606416123,6,8
1606416723,2,0
1606417924,15,3
1606418523,8,10
1606419723,9,0
1606420924,10,12
1606421523,6,10
1606422123,2,21
1606422723,11,0
1606423323,14,6
1606423923,0,13
1606425123,20,19
1606425724,1,0
1606426324,8,13
1606427523,3,1
1606428724,4,15
1606429324,1,8
1606430524,1,5
1606431723,3,0
1606432324,6,5
1606432923,0,3
1606433523,7,5
1606434723,3,12
1606435323,3,0
1606436523,13,26
1606437723,18,0
1606438324,0,4
1606439523,17,4
1606440723,27,2
1606441324,13,4
1606442524,11,4
1606443124,2,0
1606443723,1,0
1606444923,6,12
1606445523,5,0
1606446724,5,0
1606447323,2,7
1606449124,0,1
1606450324,7,0
1606450923,2,0
1606452123,5,8
1606453924,12,6
1606455724,12,1
1606456324,11,5
1606456923,4,0
1606458124,11,4
1606459323,9,3
1606459923,1,0
1606461123,2,3
1606461723,0,3
1606462923,1,0
1606464127,5,3
1606465323,4,13
1606465923,2,3
1606467124,2,5
1606467723,1,0
1606468924,2,26
1606470723,1,53
1606471323,27,0
1606472523,6,4
1606473124,2,3
1606474323,5,4
1606475523,6,8
1606476123,5,0
1606477323,2,0
1606478524,2,1
1606479123,9,0
1606479723,1,0
1606480924,3,7
1606482123,1,6
1606483323,2,0
1606485123,1,9
1606486923,0,9
1606488123,1,3
1606489324,1,0
1606489923,0,2
1606491723,80,5
1606492323,1,0
1606492923,1,5
1606493523,0,9
1606494123,0,1
1606495323,10,8
1606495923,0,3
1606497123,5,1
1606498924,2,7
1606499523,0,2
1606500123,2,11
1606500723,3,1
